Resistance (ohms),Frequency (Hz),Peak Voltage Across Resistor (V)
10,550.0,0.43
10,524.6,0.43
10,439.2,0.39
10,399.8,0.37
10,348.2,0.31
10,311.5,0.28
10,289.2,0.25
10,253.8,0.22
10,214.7,0.18
10,605.3,0.42
10,650.6,0.40
10,682.2,0.39
10,738.5,0.37
10,905.6,0.34
10,916.0,0.34
10,968.0,0.32
10,1078.4,0.30
10,503.5,0.33
10,497.5,0.38
10,588.5,0.42
50,445.3,1.92
50,375.6,1.66
50,375.5,1.68
50,354.5,1.58
50,317.9,1.54
50,316.7,1.40
50,226.2,0.96
50,204.8,0.84
50,500.1,2.02
50,465.7,1.98
50,563.5,2.04
50,651.4,1.94
50,708.2,1.86
50,794.5,1.70
50,844.6,1.62
50,935.5,1.48
50,1075.4,1.38
50,1091.1,1.30
50,1209.7,1.22
50,1297.4,1.10
500,550.0,12.0
500,484.9,11.8
500,448.5,11.6
500,408.7,11.6
500,356.9,11.2
500,311.4,10.4
500,266.3,9.8
500,230.5,9.2
500,199.9,8.0
500,575.4,11.8
500,653.2,11.6
500,725.7,11.2
500,787.5,11.2
500,829.9,10.8
500,877.9,10.8
500,1006.7,10.4
500,1070.8,10.0
500,1159.2,9.6
500,1202.0,9.6
500,1242.2,9.2
