theta,I
0,1332.25
0,1331.3
0,1331.87
0,1332.81
0,1332.81
0,1332.87
0,1332.28
0,1332.25
0,1331.81
0,1331.71
0,1331.34
0,1330.05
0,1329.81
0,1329.92
0,1330.74
0,1330.31
0,1329.91
0,1329.58
0,1331.19
0,1332.23
0,1331.8
0,1331.05
0,1329.8
0,1330.83
0,1331.45
0,1330.92
0,1330.8
0,1330.27
0,1330.71
0,1331.1
0,1329.5
0,1329
0,1328.36
0,1329.07
0,1329.44
0,1330.12
0,1329.98
0,1332.16
0,1333.08
0.3,1347.94
0.5,1356.41
0.7,1365.8
1.3,1388.08
1.8,1415.18
2.5,1448.73
3.2,1479.78
3.6,1502.79
4.4,1535.75
5,1567.83
5.8,1598.22
6.5,1632.81
7.2,1662.92
7.7,1694.57
8.4,1721.3
9.1,1752.87
9.8,1784.08
10.4,1807.42
10.9,1831.62
11.4,1856.98
11.8,1875.19
12.1,1887.66
12.3,1898.28
12.7,1913.09
13.1,1930.28
13.2,1940.35
13.4,1949.33
13.6,1955.91
14,1971.91
14.4,1989.84
14.7,2005.11
14.9,2018.13
15.4,2036.35
15.8,2055.26
16.3,2073.59
16.7,2090.3
17,2105.26
17.5,2123.28
18,2143.99
18.5,2167.87
19.2,2193.41
19.7,2221.1
20.3,2243.15
20.9,2264.97
21.6,2289.59
22.3,2316.79
22.9,2339.31
23.4,2356.87
23.9,2377.2
24.4,2391.74
24.4,2393.54
24.4,2393.83
24.4,2396.55
24.4,2398.56
24.4,2399.18
24.4,2403.16
24.4,2400.33
24.4,2400.3
24.4,2400.33
24.4,2399.27
24.4,2400.67
24.4,2401.31
24.4,2400.47
24.4,2400.84
24.4,2400.32
24.4,2400.51
24.4,2400.8
24.4,2400.77
24.4,2400.97
24.4,2399.42
24.4,2399.53
24.4,2400.6
24.4,2400.08
24.4,2400.08
24.4,2399.04
24.4,2398.6
24.4,2399.9
24.4,2400.72
24.4,2399.88
24.4,2400.12
24.4,2400.89
25.7,2441.85
27.1,2490.61
28.7,2539.53
30.2,2585.11
31.4,2612.94
32.6,2639.99
33.8,2668.69
35.1,2691.5
36.5,2714.4
37.3,2727.75
37.8,2734.82
38.4,2743.13
39.2,2753.08
39.9,2759.48
40.4,2764.41
41.2,2771.22
41.9,2778.77
42.7,2783.45
43.3,2786.68
43.9,2789.48
44.5,2791.58
45,2793.38
45.7,2793.48
46.7,2791.7
47.6,2790.48
48.4,2790.82
49.1,2789.41
49.9,2786.55
50.4,2783.93
51.2,2779.38
52.3,2770.72
53.3,2762.08
54.1,2754.44
54.9,2742.12
55.9,2730.05
56.8,2715.36
57.7,2698.66
58.2,2688.77
58.5,2683.28
58.5,2681.78
58.5,2681.51
58.5,2681.6
58.5,2682.26
58.5,2682.64
58.5,2682.72
58.5,2681.59
58.5,2681.54
58.5,2681.84
58.5,2682.54
58.5,2682.55
58.5,2682.02
58.5,2681.37
58.5,2681.57
58.5,2681.95
58.5,2682.3
58.5,2681.99
58.5,2681.3
58.5,2681.55
58.5,2681.98
58.5,2681.36
58.5,2681.65
58.5,2682.11
60.2,2647.89
62.1,2600.35
63.9,2555.82
65.4,2502.76
66.7,2462.44
68.3,2407.99
70.1,2340.63
71.9,2269.39
73.6,2203.01
75.2,2134.22
76.5,2078.88
77.6,2031.45
78.5,1987.59
79.5,1941.58
80.3,1904.45
81,1866.2
81.7,1830.62
82.6,1788.04
83.4,1746.74
84.2,1705.57
85,1671.31
85.6,1638.94
86.4,1599.4
87.2,1556.7
88.1,1510.79
89.2,1460.91
90.4,1404.84
91.5,1343.05
92.8,1271.78
94.1,1209.69
95.1,1152.29
96.1,1104.83
96.8,1069.38
97.6,1042.38
97.7,1032.02
97.7,1031.69
97.7,1031.85
97.7,1031.98
97.7,1032.53
97.7,1032.25
97.7,1031.8
97.7,1031.85
97.7,1031.8
97.7,1032.15
97.7,1032.23
97.7,1031.93
97.7,1031.67
97.7,1031.74
97.7,1032.43
97.7,1032.38
97.7,1031.89
97.7,1031.7
97.7,1031.7
97.7,1032.26
97.7,1032.29
97.7,1031.49
97.7,1029.58
98.1,1010.12
98.9,972.3
99.5,942.14
100.2,913.15
100.9,880.38
101.5,854.27
101.9,835.02
102.4,811.64
103.4,771.1
104.5,724.28
105.5,681.72
106.6,638.7
107.7,590.65
108.9,545.22
109.9,506.17
110.9,471.35
111.7,440.31
112.5,413.19
113.3,387.52
114,361.66
115,332.31
116.1,299.91
117.3,271.88
118.2,245.33
119.2,221.93
120.1,199.87
121,178.92
122,157.9
122.9,141.85
123.8,126.1
123.9,123.01
123.9,122.92
123.9,123
123.9,123.01
123.9,122.97
123.9,123
123.9,122.99
123.9,123.01
123.9,123
123.9,122.9
123.9,123.03
123.9,122.96
123.9,123.06
123.9,122.96
123.9,123.02
123.9,122.88
123.9,122.98
123.9,122.99
123.9,122.86
123.9,122.92
123.9,122.8
123.9,122.95
123.9,122.95
123.9,122.98
123.9,122.79
123.9,122.81
123.9,122.84
123.9,122.81
123.9,122.25
124.1,120.12
124.9,106.84
126.1,90.06
127.1,78.64
128.1,67.02
128.9,59.87
129.6,53.62
130.3,47.8
131,43.94
131.8,40.26
132.1,38.44
132.6,37
132.8,36.15
132.8,36.22
132.8,36.08
132.8,35.79
132.9,35.88
132.9,35.9
132.9,35.83
